1	13.1105065422982
2	37.0643865785724
3	64.5582329317269
4	76.6420520792849
5	90.7889623008162
6	94.9442933022412
7	97.2017100660707
8	98.6105713175282
9	99.6210649047804
10	99.9125534395647
11	99.9902837155072
12	99.9935224770048
13	100
14	100
15	100
16	100
17	100
18	100
19	100
20	100
21	100
22	100
23	100
24	100
25	100
26	100
27	100
28	100
29	100
30	100
31	100
32	100
33	100
34	100
35	100
36	100
37	100
38	100
39	100
40	100
41	100
42	100
43	100
44	100
45	100
46	100
47	100
48	100
49	100
50	100
